frame,lat,lon,ele,incline
0,33.998406,-81.006545,85.1,1.75
1,33.998406,-81.006545,85.1,1.75
2,33.998406,-81.006545,85.1,1.75
3,33.998406,-81.006545,85.1,1.75
4,33.998406,-81.006545,85.1,1.75
5,33.998406,-81.006545,85.1,1.75
6,33.998406,-81.006545,85.1,1.75
7,33.998406,-81.006545,85.1,1.75
8,33.998406,-81.006545,85.1,1.75
9,33.998406,-81.006545,85.1,1.75
10,33.998406,-81.006545,85.1,1.75
11,33.998406,-81.006545,85.1,1.75
12,33.998406,-81.006545,85.1,1.75
13,33.998406,-81.006545,85.1,1.75
14,33.998406,-81.006545,85.1,1.75
15,33.998406,-81.006545,85.1,1.75
16,33.998406,-81.006545,85.1,1.75
17,33.998406,-81.006545,85.1,1.75
18,33.998406,-81.006545,85.1,1.75
19,33.998406,-81.006545,85.1,1.75
20,33.998406,-81.006545,85.1,1.75
21,33.998406,-81.006545,85.1,1.75
22,33.998406,-81.006545,85.1,1.75
23,33.998406,-81.006545,85.1,1.75
24,33.998406,-81.006545,85.1,1.75
25,33.998407,-81.006514,85.2,1.95
26,33.998407,-81.006514,85.2,1.95
27,33.998407,-81.006514,85.2,1.95
28,33.998407,-81.006514,85.2,1.95
29,33.998407,-81.006514,85.2,1.95
30,33.998407,-81.006514,85.2,1.95
31,33.998407,-81.006514,85.2,1.95
32,33.998407,-81.006514,85.2,1.95
33,33.998407,-81.006514,85.2,1.95
34,33.998407,-81.006514,85.2,1.95
35,33.998407,-81.006514,85.2,1.95
36,33.998407,-81.006514,85.2,1.95
37,33.998407,-81.006514,85.2,1.95
38,33.998407,-81.006514,85.2,1.95
39,33.998407,-81.006514,85.2,1.95
40,33.998407,-81.006514,85.2,1.95
41,33.998407,-81.006514,85.2,1.95
42,33.998407,-81.006514,85.2,1.95
43,33.998407,-81.006514,85.2,1.95
44,33.998407,-81.006514,85.2,1.95
45,33.998407,-81.006514,85.2,1.95
46,33.998407,-81.006514,85.2,1.95
47,33.998407,-81.006514,85.2,1.95
48,33.998407,-81.006514,85.2,1.95
49,33.998407,-81.006514,85.2,1.95
50,33.998407,-81.006514,85.2,1.95
51,33.998407,-81.006514,85.2,1.95
52,33.998407,-81.006514,85.2,1.95
53,33.998407,-81.006514,85.2,1.95
54,33.998407,-81.006514,85.2,1.95
55,33.998407,-81.006514,85.2,1.95
56,33.998407,-81.006514,85.2,1.95
57,33.998407,-81.006514,85.2,1.95
58,33.998407,-81.006514,85.2,1.95
59,33.998407,-81.006514,85.2,1.95
60,33.998407,-81.006514,85.2,1.95
61,33.998407,-81.006514,85.2,1.95
62,33.998407,-81.006514,85.2,1.95
63,33.998407,-81.006514,85.2,1.95
64,33.998407,-81.006514,85.2,1.95
65,33.998407,-81.006514,85.2,1.95
66,33.998407,-81.006514,85.2,1.95
67,33.998407,-81.006514,85.2,1.95
68,33.998407,-81.006514,85.2,1.95
69,33.998407,-81.006514,85.2,1.95
70,33.998407,-81.006514,85.2,1.95
71,33.998407,-81.006514,85.2,1.95
72,33.998407,-81.006514,85.2,1.95
73,33.998407,-81.006514,85.2,1.95
74,33.998411,-81.006468,85.3,3.29
75,33.998411,-81.006468,85.3,3.29
76,33.998411,-81.006468,85.3,3.29
77,33.998411,-81.006468,85.3,3.29
78,33.998411,-81.006468,85.3,3.29
79,33.998411,-81.006468,85.3,3.29
80,33.998411,-81.006468,85.3,3.29
81,33.998411,-81.006468,85.3,3.29
82,33.998411,-81.006468,85.3,3.29
83,33.998411,-81.006468,85.3,3.29
84,33.998411,-81.006468,85.3,3.29
85,33.998411,-81.006468,85.3,3.29
86,33.998411,-81.006468,85.3,3.29
87,33.998411,-81.006468,85.3,3.29
88,33.998411,-81.006468,85.3,3.29
89,33.998411,-81.006468,85.3,3.29
90,33.998411,-81.006468,85.3,3.29
91,33.998411,-81.006468,85.3,3.29
92,33.998411,-81.006468,85.3,3.29
93,33.998411,-81.006468,85.3,3.29
94,33.998411,-81.006468,85.3,3.29
95,33.998411,-81.006468,85.3,3.29
96,33.998411,-81.006468,85.3,3.29
97,33.998411,-81.006468,85.3,3.29
98,33.998411,-81.006468,85.3,3.29
99,33.998411,-81.006468,85.3,3.29
100,33.998411,-81.006468,85.3,3.29
101,33.998411,-81.006468,85.3,3.29
102,33.998411,-81.006468,85.3,3.29
103,33.998411,-81.006468,85.3,3.29
104,33.998411,-81.006468,85.3,3.29
105,33.998411,-81.006468,85.3,3.29
106,33.998411,-81.006468,85.3,3.29
107,33.998411,-81.006468,85.3,3.29
108,33.998411,-81.006468,85.3,3.29
109,33.998411,-81.006468,85.3,3.29
110,33.998411,-81.006468,85.3,3.29
111,33.998411,-81.006468,85.3,3.29
112,33.998411,-81.006468,85.3,3.29
113,33.998411,-81.006468,85.3,3.29
114,33.998411,-81.006468,85.3,3.29
115,33.998411,-81.006468,85.3,3.29
116,33.998411,-81.006468,85.3,3.29
117,33.998411,-81.006468,85.3,3.29
118,33.998411,-81.006468,85.3,3.29
119,33.998411,-81.006468,85.3,3.29
120,33.998411,-81.006468,85.3,3.29
121,33.998411,-81.006468,85.3,3.29
122,33.998411,-81.006414,85.5,2.81
123,33.998411,-81.006414,85.5,2.81
124,33.998411,-81.006414,85.5,2.81
125,33.998411,-81.006414,85.5,2.81
126,33.998411,-81.006414,85.5,2.81
